channel,feature_name,feature_value,object_id,plate_column,plate_row,platedir,region,timepoint
1,q0_250,1810.5,27,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2442.0,27,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3090.5,27,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8883.0,27,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,449.0,28,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1786.0,28,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2265.0,28,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3028.75,28,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,7809.0,28,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,404.0,29,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1678.0,29,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2179.0,29,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2734.0,29,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,10794.0,29,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,254.0,30,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1770.5,30,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2285.0,30,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2839.5,30,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9097.0,30,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,425.0,31,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1618.0,31,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2258.0,31,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2928.5,31,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9843.0,31,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,375.0,32,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1797.25,32,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2321.0,32,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2903.0,32,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,7618.0,32,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,335.0,33,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1650.0,33,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2130.0,33,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2727.0,33,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8305.0,33,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,433.0,34,2,A,200129MZ072BBB07,l100seg,72
